序号,品牌,判定,价格虚高风险,原因,数据来源
822,FARMINA PET FOODS,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
823,"珀莱雅双抗,DONNA",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
824,Rosette,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
825,"教士（Franziskaner）,丹麦蓝罐（Kjeldsens）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
826,"SHAWKEA,asahi",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
827,"高丝（Kose）,dup",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
828,"复轻园,Diiduk",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
829,"MiniJumbuk,Unichi",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
830,"PO PETROL OFISI,华夏堂",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
831,"Primalg,Ruis Olimar",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
832,"四万十川,LORETTA",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
833,RVIP,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
834,"ORIENTAL KOPI,KEDAI KOPITIAM ORIENTAL KOPI",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
835,AMPLEUR,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
836,"大鼻子（BigPeat）,HELLYERS ROAD",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
837,"斯莫吉,凯狮（CASS）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
838,"铁尺（tiechi）,SAVANNA ORCHARDS",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
839,"德劳特沃（Gerolsteiner）,普雷克斯（Purex）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
840,"SEMPER,森宝（Semper）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
841,"Merino,Alpine Silk",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
842,ADIEN,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
843,"BTNature,BTNATURE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
844,"ORIHIRO,菓の道",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
845,"Dariya,OTHER/其他",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
846,patchi,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
847,"Nature's Way,coromega",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
848,EVA PRODUCTS,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
849,"Ianys,LUCKY MONSTER",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
850,LP LaPulovce,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
851,"娥佩兰（OPERA）,马油（LOSHI）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
852,"pons,SIERRA DE UTIEL",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
853,CHILDS FARM,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
854,RAPPORT,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
855,Karen Murrell,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
856,"丽珍贝加尔,BONZ",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
857,"NutriNest,SAOTHAIDUONG",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
858,"Ajona,Arya-Laya",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
859,Moihanr,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
860,"Turkey Hill Sugarbush,MONGDIES",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
861,"Svecymikov,Leypian",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
862,Aqualan,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
863,"洛神山庄,佳得美庄园（CH. CANTEMERLE ）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
864,QZEQZE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
865,"卡农酒庄（Chateau Canon）,白牡丹",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
866,"阿舍食堂,XIN LONG YA TEA",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
867,"NROKEN,WAXGREEN",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
868,"New English Teas,BACHA",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
869,NEUE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
870,"歌润,绽媄娅",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
871,"AngelHeart,GARRACK",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
872,"Refine,爱丽思（IRIS）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
873,哈根纽翠斯（NUTRIENCE）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
874,"PAPATYA,澳芝曼（G＆M）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
875,"保美雅（Promina）,Dentek",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
876,"巨浪大切（EDOpack）,德运（Devondale）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
877,"小蓝瓶（TAKAMI）,Neck & Deco",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
878,"Dariya,Preparation H",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
879,"Maxigenes,Healthy Care",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
880,DEVIANCE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
881,"Caprilac,皮爷咖啡",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
882,"保牌,Win Win",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
883,"MY.ORGANICS,资生堂专业美发（SHISEIDO PROFESSIONAL）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
884,"格兰纳里奇（GlenAllachie）,遊穗",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
885,"Turkey Hill Sugarbush,维蕾德（WELEDA）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
886,"三花（CARNATION）,白兰氏（Brands）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
887,"BARON PHILIPPE BARON,贝玛格雷（Bernard Magrez）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
888,"芭乐雅（Balea）,Dontodent",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
889,"贝拉米（Bellamy's）,喜宝（HiPP）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
890,"Catz finefood,福摩（Fromm）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
891,"WESTGOLD,海特安可金卡露",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
892,"Ajona,MARTINA GEBHARDT",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
893,"Off&Relax,Naturie",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
894,SUTRICON,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
895,龙角散,非假洋牌(国产),低,需进一步核实,规则推断·未核验
896,妙思乐（Mustela）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
897,"SWANSON,普丽普莱（Puritan's Pride）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
898,"安速（ARS）,ADVION",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
899,TWO HANDS WINES,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
900,"三养（SAMYANG）,日清",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
901,"来发记,FRANCO'S",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
902,"UNIMAT,pipingrock",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
903,"惠宝（White Glo）,杰士派（GATSBY）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
904,SINFI,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
905,"维蕾德（WELEDA）,芭乐雅（Balea）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
906,"NoBrand,一百份（cocoaland LOT100）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
907,"CLAYMORE,Jenke Vineyards",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
908,"吉百利（CADBURY）,添爱尊尚咖啡（TNI KING COFFEE）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
909,"Fox's,阿华田（Ovaltine）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
910,"德国华沙,野口",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
911,"喜宝（HiPP）,茵缇玛（Intima）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
912,"livon labs,scenkan",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
913,"ILEACH,KENTUCKY OWL",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
914,Nutiva,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
915,Cheri,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
916,"PIG'S NOSE,SAWAKI",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
917,"too faced,Tondi",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
918,"睿嫣,妮塔莉雅（Nethallia）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
919,"戈博（GERBER）,MBARC",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
920,"DOMAINE JEAN-LOUIS CHAVE,世界名庄（Fine Wine）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
921,"Rofagy,Rewi",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
922,"CERVIDOR,NOW",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
923,"小龙战舰,托布雷",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
924,"MCM,Ameri-Vita",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
925,"DANA ESTATES,拉蒙蒂耶（LARMANDIER-BERNIER）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
926,"铁尺（tiechi）,莱茵",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
927,Lazy Society,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
928,"澳洲,AOMEVOR",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
929,"SNUGGLE,当妮（DOWNY）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
930,"贝娜婷（Penaten）,芭乐雅（Balea）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
931,C,疑似假洋牌(无元音),高,"无元音字母,高风险生造名",规则推断·未核验
932,"NUDE努德,柳宗理",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
933,"Glencadam,嘉伯乐（PAUL JABOULET AINE）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
